
Time,Loadshape,Solar,Price
1,0.38475,0,0.22
2,0.37665,0,0.22
3,0.36855,0,0.22
4,0.3726,0,0.22
5,0.405,0,0.22
6,0.3807,0,0.22
7,0.3645,0,0.22
8,0.37665,0,0.22
9,0.35235,0,0.22
10,0.3402,0,0.22
11,0.3321,0,0.22
12,0.33615,0,0.22
13,0.32805,0,0.22
14,0.33615,0,0.22
15,0.3402,0,0.22
16,0.32805,0,0.22
17,0.31905,0,0.22
18,0.3096,0,0.22
19,0.30465,0,0.22
20,0.29745,0,0.22
21,0.29295,0,0.22
22,0.29025,0,0.22
23,0.2754,0,0.22
24,0.26568,0,0.22
25,0.2592,0,0.22
26,0.25272,0,0.22
27,0.24624,0,0.22
28,0.2592,0,0.22
29,0.24624,0,0.22
30,0.25272,0,0.22
31,0.243,0,0.28
32,0.24624,0.025289,0.28
33,0.23976,0.063888,0.28
34,0.23976,0.103818,0.28
35,0.23652,0.150403,0.28
36,0.23652,0.198319,0.28
37,0.23652,0.246235,0.28
38,0.23328,0.299475,0.28
39,0.22356,0.350053,0.28
40,0.23004,0.400631,0.28
41,0.2268,0.45254,0.28
42,0.2268,0.499125,0.28
43,0.2268,0.548372,0.28
44,0.22356,0.593626,0.28
45,0.21708,0.636218,0.28
46,0.2106,0.676148,0.28
47,0.20835,0.716078,0.28
48,0.2034,0.752015,0.28
49,0.1944,0.786621,0.28
50,0.187155,0.814572,0.28
51,0.1764,0.842523,0.28
52,0.171,0.86515,0.28
53,0.1665,0.889108,0.28
54,0.1647,0.907742,0.28
55,0.15885,0.923714,0.28
56,0.1629,0.933031,0.28
57,0.16965,0.943679,0.28
58,0.16875,0.950334,0.28
59,0.1728,0.951665,0.28
60,0.1854,0.946341,0.28
61,0.1935,0.942348,0.28
62,0.207,0.933031,0.28
63,0.2115,0.921052,0.28
64,0.22275,0.906411,0.28
65,0.23625,0.889108,0.28
66,0.2439,0.86515,0.28
67,0.2565,0.83853,0.52
68,0.2655,0.806586,0.52
69,0.2745,0.777304,0.52
70,0.2835,0.742698,0.52
71,0.297,0.706761,0.52
72,0.306,0.669493,0.52
73,0.3114,0.629563,0.52
74,0.32265,0.584309,0.52
75,0.3321,0.537724,0.52
76,0.33615,0.489808,0.52
77,0.35235,0.440561,0.52
78,0.36855,0.389983,0.52
79,0.36855,0.336743,0.52
80,0.3564,0.282172,0.52
81,0.3645,0.236918,0.52
82,0.36045,0.182347,0.52
83,0.36855,0.134431,0.28
84,0.37665,0.005324,0.28
85,0.3645,0,0.28
86,0.3807,0,0.28
87,0.37665,0,0.28
88,0.39285,0,0.28
89,0.3726,0,0.28
90,0.3888,0,0.28
91,0.3726,0,0.28
92,0.37665,0,0.28
93,0.38475,0,0.28
94,0.3807,0,0.28
95,0.38475,0,0.28
96,0.39285,0,0.28
